fid,資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日),日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,year
2835,1,30,110,4,2,0,1,30000,0,0,103,2019,1,13,14,55,12,1,1,1,13,0,7,0,23,0,23,2,6,1,70,5,3,1,1,65,36,61,31,0,0,0,10,0,10,0,3,0,0,0,0,0,4,2,353807739,1394405838,1,2,,,,,,,,,,,,,,,2019
2844,1,30,110,13,2,0,1,10,1,80,103,2019,1,16,15,1,12,1,1,1,14,0,7,0,23,0,23,6,9,1,70,1,2,1,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,353827171,1394358152,4,3,,,,,,,,,,,,,,,2019
2850,1,30,111,6,2,0,1,30000,0,0,103,2018,11,15,2,43,22,1,1,1,13,0,7,0,23,0,23,2,6,1,70,5,4,1,45,1,3,61,31,0,1,0,10,0,20,0,4,0,2,0,2,0,4,2,353945811,1394402576,5,3,,,,,,,,,,,,,,,2019
2852,1,30,111,8,2,0,1,20120,0,0,103,2018,10,19,6,55,12,2,1,1,14,0,7,0,23,0,23,6,9,1,70,6,1,1,55,45,3,61,31,0,1,0,4,0,50,0,3,0,2,0,2,0,4,2,353910187,1394320137,6,3,,,,,,,,,,,,,,,2019
2853,1,30,111,9,2,0,1,10,1,58,103,2018,12,21,20,27,22,1,1,1,1,0,1,9,22,0,23,19,9,30,70,1,1,1,75,45,3,61,31,0,1,0,3,0,80,0,3,0,2,0,2,0,4,2,353916993,1394442847,6,3,,,,,,,,,,,,,,,2019
2860,1,30,111,16,2,0,1,30000,0,0,103,2019,1,15,20,28,22,1,1,1,1,0,7,9,22,0,23,11,9,30,70,5,4,1,65,25,3,61,1,0,1,0,10,0,30,0,4,0,2,0,2,0,4,2,353948205,1394401616,3,3,,,,,,,,,,,,,,,2019
2862,1,30,111,18,2,0,1,30000,0,0,103,2019,1,21,9,20,12,1,1,1,1,0,7,9,22,0,23,14,9,30,70,4,1,1,65,55,3,61,1,0,1,0,10,0,30,0,3,0,2,0,2,0,4,2,353937867,1394340765,2,3,,,,,,,,,,,,,,,2019
2868,1,30,111,24,2,0,1,30000,0,0,103,2019,1,8,9,7,12,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,3,1,55,25,3,61,1,0,1,0,5,0,40,0,3,0,2,0,2,0,4,2,353946241,1394347674,3,3,,,,,,,,,,,,,,,2019
2870,1,30,111,26,2,0,1,30000,0,0,103,2019,1,28,6,30,23,1,1,1,1,0,7,9,22,0,23,14,9,30,70,4,1,1,65,35,14,61,1,0,11,0,5,0,80,0,3,0,2,0,2,0,4,2,353903763,1394324953,2,3,,,,,,,,,,,,,,,2019
2872,1,30,111,28,2,0,1,20140,0,0,103,2019,1,29,11,40,12,1,1,1,14,0,7,0,23,0,23,6,9,1,70,1,1,1,75,35,51,61,0,0,0,0,0,0,20,0,3,0,0,0,0,0,4,2,353859797,1394411690,3,3,,,,,,,,,,,,,,,2019
